SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT157,212,372,582,547,925,1957,2306,2466,2494,2592,1684,1027,6.19,0.31,0.54165,214,102,127.5,0.001,9.4966,4.3,3.96756,0.01,2.0221
OOT158,132,212,376,320,664,1589,1875,2036,2107,1863,1482,805,5.28,0.18,0.6646,143,251,327.5,0.001,5.3015,4.3,4.48437,0.01,0.87809
OOT159,11559,9769,9110,8542,8918,8351,8082,7694,7946,13469,4644,3268,6.81,0.15,0.0003,132,24.6,23,3.3,9.8654,0.001,0.4494,0.01,2.37112
OOT160,14506,13320,12695,12090,12678,11894,11542,10879,11333,15616,6530,4651,6.78,0.85,0.056,145,33.8,73.6,8,0.1383,1.1,0.8025,0.01,2.36835
OOT161,4500,2130,2164,1981,2469,3370,3624,3426,3764,10925,2254,1571,6.39,0.47,0.0003,134,36.2,71.2,6.8,0.1844,1.4,4.12485,0.01,1.26312
OOT162,10597,10804,10204,9649,10119,9514,9228,8800,9065,13358,5842,4001,6.31,0.1,0.0003,312,56.1,48.1,17.3,0.0461,2.2,0.46545,0.01,2.37112
OOT163,10466,9839,9424,9034,9562,9154,8958,8515,8879,13836,6417,4811,5.17,0.19,0.0003,132,33.2,66.6,0.001,0.1383,0.001,0.04815,0.01,2.58164
OOT164,10466,9839,9424,9034,9562,9154,8958,8515,8879,13836,6417,4811,5.49,0.15,0.0003,313,21,18.1,0.001,0.0461,0.001,0.0963,0.01,0.3601
OOT165,33,82,289,169,614,2156,2675,2863,2921,2746,1305,599,5.99,0.1,0.4074,228,30,374,0.001,14.5676,0.001,0.04173,0.01,0.61771
OOT167,991,364,602,328,930,2756,3240,3252,3455,3772,1634,756,6.85,1.42,0.2525,560,78,427.2,0.001,2.5816,0.001,14.5092,0.01,0.34625
OOT168,991,364,602,328,930,2756,3240,3252,3455,3772,1634,756,6.71,1.22,0.0307,560,96,323.4,0.001,2.3511,0.001,11.6202,0.01,1.19664
OOT169,2955,2286,2373,2202,2723,3613,3805,3748,3934,8440,3068,2596,5.23,0.97,0.8859,560,81,232.4,0.001,9.8654,0.001,16.9167,0.01,0.9972
OOT170,408,376,451,384,628,1189,1335,1289,1372,2425,936,571,5.59,0.88,0.1993,560,125,118.5,0.001,5.3476,0.001,1.03041,0.01,2.3545
OOT171,408,376,451,384,628,1189,1335,1289,1372,2425,936,571,5.53,0.92,0.6144,408,32,62.78,0.001,4.7022,0.001,0.48792,0.01,0.34902
OOT172,2201,471,709,608,1100,2467,2828,2806,2994,6651,1992,1101,6.77,1.58,0.1892,560,159,323.5,0.001,10.142,0.001,4.70265,0.01,1.5235
OOT173,822,326,477,318,688,1897,2241,2227,2366,4020,1219,621,6.18,1.11,0.056,241,321,56.7,0.001,2.4894,0.001,0.3852,0.01,0.65372
OOT174,466,249,419,235,685,2109,2550,2508,2724,2973,1300,596,5.14,0.66,0.8439,560,159,42.5,0.001,1.4752,0.001,0.7383,0.01,1.5235
